,instant,temp,hum,windspeed,cnt,season_2,season_3,season_4,holiday_1,weathersit_2,weathersit_3,year,day,month_sin,month_cos,weekday_sin,weekday_cos
682,683,0.343333,0.662917,0.342046,4094,False,False,True,False,True,False,2012,13,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
250,251,0.633913,0.939565,0.192748,1842,False,True,False,False,False,True,2011,8,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
336,337,0.299167,0.612917,0.0957833,3614,False,False,True,False,False,False,2011,3,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
260,261,0.5075,0.695,0.178483,4274,False,True,False,False,False,False,2011,18,-1.0,-1.8369701987210297e-16,0.0,1.0
543,544,0.6975,0.36,0.271775,7335,False,True,False,False,False,False,2012,27,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
136,137,0.561667,0.837917,0.277354,4123,True,False,False,False,True,False,2011,17,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
215,216,0.71,0.7575,0.19715,4576,False,True,False,False,True,False,2011,4,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
6,7,0.196522,0.498696,0.168726,1510,False,False,False,False,True,False,2011,7,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
323,324,0.463333,0.684583,0.18595,3520,False,False,True,False,True,False,2011,20,-0.5000000000000004,0.8660254037844384,0.0,1.0
398,399,0.313333,0.526667,0.178496,4151,False,False,False,False,False,False,2012,3,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
541,542,0.715833,0.504167,0.300383,6779,False,True,False,False,False,False,2012,25,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
291,292,0.541739,0.895217,0.243339,2424,False,False,True,False,False,True,2011,19,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
145,146,0.708333,0.6775,0.199642,4677,True,False,False,False,False,False,2011,26,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
